:START_ID,:END_ID,Relationship,:TYPE
institution_37974,institution_146977,cooperation,Institution_cooperation_patent
institution_146977,institution_37974,cooperation,Institution_cooperation_patent
institution_86196,institution_137507,cooperation,Institution_cooperation_patent
institution_137507,institution_86196,cooperation,Institution_cooperation_patent
institution_102291,institution_147188,cooperation,Institution_cooperation_patent
institution_147188,institution_102291,cooperation,Institution_cooperation_patent
institution_101663,institution_155094,cooperation,Institution_cooperation_patent
institution_155094,institution_101663,cooperation,Institution_cooperation_patent
institution_101663,institution_164783,cooperation,Institution_cooperation_patent
institution_164783,institution_101663,cooperation,Institution_cooperation_patent
institution_155094,institution_164783,cooperation,Institution_cooperation_patent
institution_164783,institution_155094,cooperation,Institution_cooperation_patent
institution_75195,institution_94300,cooperation,Institution_cooperation_patent
institution_94300,institution_75195,cooperation,Institution_cooperation_patent
institution_78531,institution_96769,cooperation,Institution_cooperation_patent
institution_96769,institution_78531,cooperation,Institution_cooperation_patent
institution_34457,institution_99060,cooperation,Institution_cooperation_patent
institution_99060,institution_34457,cooperation,Institution_cooperation_patent
institution_37974,institution_100408,cooperation,Institution_cooperation_patent
institution_100408,institution_37974,cooperation,Institution_cooperation_patent
institution_91748,institution_92936,cooperation,Institution_cooperation_patent
institution_92936,institution_91748,cooperation,Institution_cooperation_patent
institution_55382,institution_121277,cooperation,Institution_cooperation_patent
institution_121277,institution_55382,cooperation,Institution_cooperation_patent
institution_44867,institution_91764,cooperation,Institution_cooperation_patent
institution_91764,institution_44867,cooperation,Institution_cooperation_patent
institution_69514,institution_148530,cooperation,Institution_cooperation_patent
institution_148530,institution_69514,cooperation,Institution_cooperation_patent
institution_110391,institution_110392,cooperation,Institution_cooperation_patent
institution_110392,institution_110391,cooperation,Institution_cooperation_patent
institution_8608,institution_17261,cooperation,Institution_cooperation_patent
institution_17261,institution_8608,cooperation,Institution_cooperation_patent
institution_94206,institution_102748,cooperation,Institution_cooperation_patent
institution_102748,institution_94206,cooperation,Institution_cooperation_patent
institution_90082,institution_115101,cooperation,Institution_cooperation_patent
institution_115101,institution_90082,cooperation,Institution_cooperation_patent
institution_64831,institution_146920,cooperation,Institution_cooperation_patent
institution_146920,institution_64831,cooperation,Institution_cooperation_patent
institution_69494,institution_100580,cooperation,Institution_cooperation_patent
institution_100580,institution_69494,cooperation,Institution_cooperation_patent
institution_67240,institution_147090,cooperation,Institution_cooperation_patent
institution_147090,institution_67240,cooperation,Institution_cooperation_patent
institution_74760,institution_101927,cooperation,Institution_cooperation_patent
institution_101927,institution_74760,cooperation,Institution_cooperation_patent
institution_106586,institution_120080,cooperation,Institution_cooperation_patent
institution_120080,institution_106586,cooperation,Institution_cooperation_patent
institution_106586,institution_120087,cooperation,Institution_cooperation_patent
institution_120087,institution_106586,cooperation,Institution_cooperation_patent
institution_120080,institution_120087,cooperation,Institution_cooperation_patent
institution_120087,institution_120080,cooperation,Institution_cooperation_patent
institution_60614,institution_110679,cooperation,Institution_cooperation_patent
institution_110679,institution_60614,cooperation,Institution_cooperation_patent
institution_76585,institution_115722,cooperation,Institution_cooperation_patent
institution_115722,institution_76585,cooperation,Institution_cooperation_patent
institution_76585,institution_116302,cooperation,Institution_cooperation_patent
institution_116302,institution_76585,cooperation,Institution_cooperation_patent
institution_115722,institution_116302,cooperation,Institution_cooperation_patent
institution_116302,institution_115722,cooperation,Institution_cooperation_patent
institution_117838,institution_133334,cooperation,Institution_cooperation_patent
institution_133334,institution_117838,cooperation,Institution_cooperation_patent
institution_100984,institution_114993,cooperation,Institution_cooperation_patent
institution_114993,institution_100984,cooperation,Institution_cooperation_patent
institution_48872,institution_153679,cooperation,Institution_cooperation_patent
institution_153679,institution_48872,cooperation,Institution_cooperation_patent
institution_9734,institution_14451,cooperation,Institution_cooperation_patent
institution_14451,institution_9734,cooperation,Institution_cooperation_patent
institution_1631,institution_40480,cooperation,Institution_cooperation_patent
institution_40480,institution_1631,cooperation,Institution_cooperation_patent
institution_61227,institution_88804,cooperation,Institution_cooperation_patent
institution_88804,institution_61227,cooperation,Institution_cooperation_patent
institution_147691,institution_148040,cooperation,Institution_cooperation_patent
institution_148040,institution_147691,cooperation,Institution_cooperation_patent
institution_90852,institution_143106,cooperation,Institution_cooperation_patent
institution_143106,institution_90852,cooperation,Institution_cooperation_patent
institution_99060,institution_163586,cooperation,Institution_cooperation_patent
institution_163586,institution_99060,cooperation,Institution_cooperation_patent
institution_3011,institution_153136,cooperation,Institution_cooperation_patent
institution_153136,institution_3011,cooperation,Institution_cooperation_patent
institution_94134,institution_96177,cooperation,Institution_cooperation_patent
institution_96177,institution_94134,cooperation,Institution_cooperation_patent
institution_103145,institution_103146,cooperation,Institution_cooperation_patent
institution_103146,institution_103145,cooperation,Institution_cooperation_patent
institution_76422,institution_162089,cooperation,Institution_cooperation_patent
institution_162089,institution_76422,cooperation,Institution_cooperation_patent
